TimeMS,Input,Output_1,Output_2
0.000000,2047,1903,1770
0.020833,2767,1921,1767
0.041667,3385,1928,1796
0.062500,3813,1932,1804
0.083333,3988,1935,1807
0.104167,3888,1924,1796
0.125000,3525,1924,1794
0.145833,2952,1935,1833
0.166667,2250,1991,1967
0.187500,1519,2183,2402
0.208333,863,2411,2991
0.229167,375,2634,2991
0.250000,126,2635,2990
0.270833,150,2274,2990
0.291667,444,1582,1511
0.312500,966,943,961
0.333333,2047,943,960
0.354167,2047,943,943
0.375000,2047,943,960
0.395833,2047,943,960
0.416667,2047,1190,960
0.437500,2047,2272,1804
0.458333,2047,2980,2990
0.479167,2047,2980,2991
0.500000,2047,2981,2991
0.520833,2047,2980,2990
0.541667,2047,2980,2991
0.562500,2047,2980,2991
0.583333,2047,1825,2339
0.604167,2047,943,960
0.625000,2047,943,961
0.645833,2047,943,961
0.666667,2047,943,960
0.687500,2047,943,943
0.708333,2047,1280,960
0.729167,2047,2253,1603
0.750000,2047,2920,2991
0.770833,2047,2979,2991
0.791667,2047,2980,2991
0.812500,2047,2980,2991
0.833333,2047,2980,2991
0.854167,2047,2980,2991
0.875000,2047,2980,2990
0.895833,2047,2980,2991
0.916667,2047,2895,2991
0.937500,2047,1704,1763
0.958333,2047,943,960
0.979167,2047,943,960
1.000000,2047,943,960
1.020833,2047,943,961
1.041667,2047,961,960
1.062500,2047,1600,960
1.083333,2047,2094,1165
1.104167,2047,2287,2250
1.125000,2047,2315,2991
1.145833,2047,2446,2991
1.166667,2047,2849,2991
1.187500,2047,2980,2991
1.208333,2047,2980,2991
1.229167,2047,2980,2991
1.250000,2047,2980,2990
1.270833,2047,2279,2824
1.291667,2047,1159,960
1.312500,2047,943,960
1.333333,2047,943,960
1.354167,2047,943,960
1.375000,2047,943,960
1.395833,2047,1416,960
1.416667,2047,1894,961
1.437500,2047,2181,1828
1.458333,2047,2251,2728
1.479167,2047,2318,2991
1.500000,2047,2505,2990
1.520833,2047,2827,2991
1.541667,2047,2980,2991
1.562500,2047,2980,2991
1.583333,2047,2981,2991
1.604167,2047,2596,2991
1.625000,2047,1926,2408
1.645833,2047,1284,961
1.666667,2047,943,943
1.687500,2047,943,943
1.708333,2047,999,960
1.729167,2047,1290,960
1.750000,2047,1611,960
1.770833,2047,1867,995
1.791667,2047,2053,1798
1.812500,2047,2215,2600
1.833333,2047,2406,2991
1.854167,2047,2600,2991
1.875000,2047,2756,2990
1.895833,2047,2798,2991
1.916667,2047,2727,2991
1.937500,2047,2472,2991
1.958333,2047,2158,2991
1.979167,2047,1774,2254
2.000000,2047,1487,1090
2.020833,2047,1324,960
2.041667,2047,1250,961
2.062500,2047,1295,961
2.083333,2047,1422,943
2.104167,2047,1614,960
2.125000,2047,1863,1093
2.145833,2047,2122,1959
2.166667,2047,2378,2945
2.187500,2047,2540,2991
2.208333,2047,2630,2991
2.229167,2047,2607,2991
2.250000,2047,2500,2991
2.270833,2047,2318,2991
2.291667,2047,2119,2990
2.312500,2047,1903,2530
2.333333,2047,1771,1804
2.354167,2047,1638,1067
2.375000,2047,1571,943
2.395833,2047,1512,943
2.416667,2047,1547,960
2.437500,2047,1643,960
2.458333,2047,1806,1197
2.479167,2047,2060,2022
2.500000,2047,2308,2959
2.520833,2047,2466,2991
2.541667,2047,2534,2990
2.562500,2047,2510,2991
2.583333,2047,2371,2990
2.604167,2047,2220,2990
2.625000,2047,2059,2702
2.645833,2047,1896,2339
2.666667,2047,1824,1990
2.687500,2047,1739,1610
2.708333,2047,1704,1219
2.729167,2047,1669,960
2.750000,2047,1667,960
2.770833,2047,1699,960
2.791667,2047,1824,1103
2.812500,2047,1985,1647
2.833333,2047,2177,2341
2.854167,2047,2318,2923
2.875000,2047,2382,2990
2.895833,2047,2348,2991
2.916667,2047,2273,2991
2.937500,2047,2145,2795
2.958333,2047,1988,2440
2.979167,2047,1889,2112
3.000000,2047,1838,1801
3.020833,2047,1769,1506
3.041667,2047,1728,1199
3.062500,2047,1703,960
3.083333,2047,1676,960
3.104167,2047,1677,960
3.125000,2047,1702,960
3.145833,2047,1795,1157
3.166667,2047,1921,1743
3.187500,2047,2092,2280
3.208333,2047,2187,2730
3.229167,2047,2243,2888
3.250000,2047,2243,2794
3.270833,2047,2145,2475
3.291667,2047,2019,2115
3.312500,2047,1869,1697
3.333333,2047,1767,1377
3.354167,2047,1677,1124
3.375000,2047,1634,961
3.395833,2047,1611,960
3.416667,2047,1641,960
3.437500,2047,1708,961
3.458333,2047,1774,996
3.479167,2047,1825,1280
3.500000,2047,1889,1575
3.520833,2047,1965,1865
3.541667,2047,1999,2094
3.562500,2047,2062,2217
3.583333,2047,2092,2273
3.604167,2047,2116,2244
3.625000,2047,2094,2154
3.645833,2047,2023,2030
3.666667,2047,1927,1895
3.687500,2047,1836,1709
3.708333,2047,1766,1474
3.729167,2047,1707,1281
3.750000,2047,1676,1157
3.770833,2047,1709,1122
3.791667,2047,1775,1190
3.812500,2047,1863,1415
3.833333,2047,1962,1669
3.854167,2047,2025,1903
3.875000,2047,2080,2115
3.895833,2047,2091,2249
3.916667,2047,2084,2273
3.937500,2047,2053,2243
3.958333,2047,2027,2189
3.979167,2047,1996,2063
4.000000,2047,1958,1955
4.020833,2047,1893,1798
4.041667,2047,1839,1639
4.062500,2047,1793,1506
4.083333,2047,1768,1415
4.104167,2047,1766,1348
4.125000,2047,1803,1344
4.145833,2047,1826,1378
4.166667,2047,1862,1447
4.187500,2047,1892,1510
4.208333,2047,1929,1572
4.229167,2047,1924,1635
4.250000,2047,1934,1699
4.270833,2047,1961,1805
4.291667,2047,1958,1899
4.312500,2047,1986,1994
4.333333,2047,1986,2029
4.354167,2047,1954,2019
4.375000,2047,1927,1958
4.395833,2047,1890,1865
4.416667,2047,1866,1795
4.437500,2047,1860,1740
4.458333,2047,1871,1767
4.479167,2047,1903,1830
4.500000,2047,1959,1898
4.520833,2047,1995,1995
4.541667,2047,2023,2056
4.562500,2047,2020,2083
4.583333,2047,2025,2119
4.604167,2047,2026,2152
4.625000,2047,2022,2188
4.645833,2047,2020,2222
4.666667,2047,2029,2240
4.687500,2047,1999,2242
4.708333,2047,1985,2241
4.729167,2047,1989,2219
4.750000,2047,1961,2186
4.770833,2047,1960,2183
4.791667,2047,1962,2208
4.812500,2047,1985,2219
4.833333,2047,1996,2221
4.854167,2047,1991,2187
4.875000,2047,1999,2157
4.895833,2047,2022,2125
4.916667,2047,2027,2122
4.937500,2047,2028,2125
4.958333,2047,2021,2145
4.979167,2047,2018,2176
5.000000,2047,1998,2191
5.020833,2047,1987,2216
5.041667,2047,1986,2255
5.062500,2047,1999,2255
5.083333,2047,1985,2282
5.104167,2047,1991,2274
5.125000,2047,1989,2281
5.145833,2047,1987,2242
5.166667,2047,1999,2220
5.187500,2047,1998,2176
5.208333,2047,1989,2127
5.229167,2047,2020,2117
5.250000,2047,2020,2125
5.270833,2047,2030,2149
5.291667,2047,2052,2188
5.312500,2047,2054,2187
5.333333,2047,1997,2152
5.354167,2047,1988,2115
5.375000,2047,1963,2094
5.395833,2047,1954,2086
5.416667,2047,1959,2113
5.437500,2047,1959,2157
5.458333,2047,1999,2254
5.479167,2047,2017,2312
5.500000,2047,2027,2315
5.520833,2047,2029,2285
5.541667,2047,2022,2215
5.562500,2047,2017,2126
5.583333,2047,1999,2059
5.604167,2047,1997,2019
5.625000,2047,1996,2023
5.645833,2047,1991,2031
5.666667,2047,1992,2024
5.687500,2047,1964,2030
5.708333,2047,1953,2057
5.729167,2047,1963,2059
5.750000,2047,1953,2114
5.770833,2047,1963,2155
5.791667,2047,1992,2240
5.812500,2047,1990,2279
5.833333,2047,1999,2319
5.854167,2047,2023,2310
5.875000,2047,2030,2275
5.895833,2047,2020,2219
5.916667,2047,2029,2190
5.937500,2047,2056,2188
5.958333,2047,2052,2153
5.979167,2047,2056,2118
6.000000,2047,1992,2054
6.020833,2047,1963,1999
6.041667,2047,1933,1933
6.062500,2047,1934,1899
6.083333,2047,1931,1898
6.104167,2047,1922,1960
6.125000,2047,1934,2051
6.145833,2047,1965,2117
6.166667,2047,1955,2118
6.187500,2047,1967,2089
6.208333,2047,1955,1992
6.229167,2047,1924,1860
6.250000,2047,1928,1738
6.270833,2047,1902,1611
6.291667,2047,1899,1543
6.312500,2047,1897,1506
6.333333,2047,1888,1505
6.354167,2047,1893,1484
6.375000,2047,1864,1485
6.395833,2047,1871,1509
6.416667,2047,1863,1515
6.437500,2047,1868,1568
6.458333,2047,1861,1641
6.479167,2047,1894,1730
6.500000,2047,1898,1830
6.520833,2047,1931,1865
6.541667,2047,1934,1893
6.562500,2047,1931,1869
6.583333,2047,1932,1807
6.604167,2047,1925,1760
6.625000,2047,1902,1701
6.645833,2047,1895,1639
6.666667,2047,1900,1607
6.687500,2047,1891,1611
6.708333,2047,1867,1609
6.729167,2047,1867,1606
6.750000,2047,1871,1643
6.770833,2047,1898,1698
6.791667,2047,1895,1764
6.812500,2047,1903,1838
6.833333,2047,1925,1859
6.854167,2047,1927,1867
6.875000,2047,1929,1865
6.895833,2047,1925,1832
6.916667,2047,1921,1794
6.937500,2047,1903,1760
6.958333,2047,1903,1736
6.979167,2047,1903,1700
7.000000,2047,1920,1701
7.020833,2047,1903,1668
7.041667,2047,1900,1675
7.062500,2047,1894,1676
7.083333,2047,1893,1700
7.104167,2047,1899,1742
7.125000,2047,1925,1798
7.145833,2047,1923,1862
7.166667,2047,1933,1895
7.187500,2047,1960,1930
7.208333,2047,1966,1963
7.229167,2047,1964,1956
7.250000,2047,1959,1934
7.270833,2047,1953,1891
7.291667,2047,1933,1864
7.312500,2047,1952,1857
7.333333,2047,1953,1836
7.354167,2047,1953,1803
7.375000,2047,1931,1793
7.395833,2047,1926,1798
7.416667,2047,1923,1836
7.437500,2047,1924,1866
7.458333,2047,1931,1935
7.479167,2047,1958,1986
7.500000,2047,1967,2020
7.520833,2047,1962,2019
7.541667,2047,1965,2028
7.562500,2047,1967,2026
7.583333,2047,1967,2019
7.604167,2047,1961,2017
7.625000,2047,1958,1991
7.645833,2047,1954,1964
7.666667,2047,1966,1925
7.687500,2047,1963,1923
7.708333,2047,1957,1899
7.729167,2047,1955,1921
7.750000,2047,1956,1933
7.770833,2047,1960,1988
7.791667,2047,1955,2024
7.812500,2047,1965,2094
7.833333,2047,1993,2115
7.854167,2047,1985,2149
7.875000,2047,1986,2149
7.895833,2047,1984,2122
7.916667,2047,1996,2121
7.937500,2047,1990,2114
7.958333,2047,1990,2093
7.979167,2047,1991,2087
8.000000,2047,1994,2090
8.020834,2047,1993,2059
8.041667,2047,1991,2061
8.062500,2047,1987,2050
8.083334,2047,1966,2054
8.104167,2047,1959,2062
8.125000,2047,1957,2062
8.145834,2047,1956,2094
8.166667,2047,1959,2089
8.187500,2047,1961,2085
8.208334,2047,1963,2090
8.229167,2047,1963,2054
8.250000,2047,1958,2050
8.270834,2047,1953,2029
8.291667,2047,1959,1991
8.312500,2047,1955,1967
8.333334,2047,1935,1963
8.354167,2047,1952,1927
8.375000,2047,1958,1934
8.395834,2047,1963,1935
8.416667,2047,1956,1956
8.437500,2047,1986,1988
8.458334,2047,1998,2058
8.479167,2047,1990,2150
8.500000,2047,1999,2216
8.520834,2047,2019,2249
8.541667,2047,2019,2284
8.562500,2047,1997,2255
8.583334,2047,1990,2223
8.604167,2047,1999,2182
8.625000,2047,1995,2151
8.645834,2047,1994,2116
8.666667,2047,1993,2094
8.687500,2047,1997,2086
8.708334,2047,1998,2086
8.729167,2047,1986,2094
8.750000,2047,1989,2088
8.770834,2047,1989,2119
8.791667,2047,1994,2127
8.812500,2047,1993,2148
8.833334,2047,1995,2185
8.854167,2047,1995,2182
8.875000,2047,1997,2184
8.895834,2047,1997,2190
8.916667,2047,1994,2154
8.937500,2047,1992,2154
8.958334,2047,1987,2114
8.979167,2047,1984,2091
9.000000,2047,1994,2082
9.020834,2047,1986,2051
9.041667,2047,1965,2023
9.062500,2047,1958,1997
9.083334,2047,1953,1965
9.104167,2047,1967,1958
9.125000,2047,1963,1957
9.145834,2047,1964,1985
9.166667,2047,1965,1988
9.187500,2047,1967,2017
9.208334,2047,1953,2019
9.229167,2047,1963,1988
9.250000,2047,1962,1967
9.270834,2047,1954,1955
9.291667,2047,1955,1925
9.312500,2047,1932,1896
9.333334,2047,1927,1861
9.354167,2047,1923,1834
9.375000,2047,1932,1794
9.395834,2047,1934,1801
9.416667,2047,1933,1795
9.437500,2047,1921,1799
9.458334,2047,1925,1794
9.479167,2047,1930,1831
9.500000,2047,1931,1835
9.520834,2047,1931,1868
9.541667,2047,1929,1857
9.562500,2047,1924,1869
9.583334,2047,1934,1837
9.604167,2047,1932,1828
9.625000,2047,1926,1796
9.645834,2047,1924,1772
9.666667,2047,1925,1735
9.687500,2047,1903,1737
9.708334,2047,1900,1739
9.729167,2047,1898,1743
9.750000,2047,1898,1739
9.770834,2047,1902,1763
9.791667,2047,1928,1801
9.812500,2047,1922,1838
9.833334,2047,1934,1892
9.854167,2047,1957,1902
9.875000,2047,1962,1931
9.895834,2047,1953,1934
9.916667,2047,1929,1923
9.937500,2047,1920,1901
9.958334,2047,1931,1860
9.979167,2047,1931,1861
10.000000,2047,1933,1831
10.020834,2047,1921,1826
10.041667,2047,1930,1831
10.062500,2047,1929,1794
10.083334,2047,1903,1770
10.104167,2047,1899,1739
10.125000,2047,1893,1711
10.145834,2047,1892,1696
10.166667,2047,1903,1700
10.187500,2047,1891,1701
10.208334,2047,1895,1702
10.229167,2047,1897,1699
10.250000,2047,1901,1679
10.270834,2047,1899,1676
10.291667,2047,1899,1679
10.312500,2047,1898,1701
10.333334,2047,1902,1699
10.354167,2047,1921,1711
10.375000,2047,1923,1733
10.395834,2047,1922,1741
10.416667,2047,1923,1762
10.437500,2047,1921,1743
10.458334,2047,1923,1764
10.479167,2047,1931,1770
10.500000,2047,1920,1803
10.520834,2047,1931,1863
10.541667,2047,1955,1897
10.562500,2047,1961,1959
10.583334,2047,1965,1989
10.604167,2047,1966,1990
10.625000,2047,1964,1988
10.645834,2047,1963,1997
10.666667,2047,1964,1991
10.687500,2047,1953,1985
10.708334,2047,1959,2022
10.729167,2047,1967,2050
10.750000,2047,1989,2062
10.770834,2047,1998,2086
10.791667,2047,1986,2123
10.812500,2047,1992,2127
10.833334,2047,1995,2158
10.854167,2047,1997,2153
10.875000,2047,1996,2158
10.895834,2047,1992,2154
10.916667,2047,1992,2150
10.937500,2047,1987,2147
10.958334,2047,1996,2123
10.979167,2047,1992,2084
11.000000,2047,1989,2091
11.020834,2047,1987,2095
11.041667,2047,1987,2092
11.062500,2047,1988,2112
11.083334,2047,1991,2148
11.104167,2047,1995,2150
11.125000,2047,1995,2155
11.145834,2047,1995,2144
11.166667,2047,1991,2116
11.187500,2047,1965,2089
11.208334,2047,1952,2027
11.229167,2047,1956,1999
11.250000,2047,1930,1959
11.270834,2047,1925,1935
11.291667,2047,1923,1927
11.312500,2047,1925,1931
11.333334,2047,1931,1927
11.354167,2047,1954,1953
11.375000,2047,1957,1953
11.395834,2047,1955,1932
11.416667,2047,1958,1920
11.437500,2047,1957,1931
11.458334,2047,1958,1933
11.479167,2047,1965,1953
11.500000,2047,1957,1986
11.520834,2767,1966,2029
11.541667,3385,1994,2059
11.562500,3813,1987,2116
11.583334,3988,1992,2155
11.604167,3888,1994,2159
11.625000,3525,1993,2182
11.645834,2952,2026,2212
11.666667,2250,2112,2368
11.687500,1519,2279,2883
11.708334,863,2531,2991
11.729167,375,2753,2990
11.750000,126,2733,2990
11.770834,150,2380,2990
11.791667,444,1678,1862
11.812500,966,943,960
11.833334,2047,943,960
11.854167,2047,943,961
11.875000,2047,943,960
11.895834,2047,943,961
11.916667,2047,1287,961
11.937500,2047,2410,2184
11.958334,2047,2980,2991
11.979167,2047,2980,2991
12.000000,2047,2980,2991
12.020834,2047,2980,2991
12.041667,2047,2980,2991
12.062500,2047,2981,2991
12.083334,2047,1922,2626
12.104167,2047,943,961
12.125000,2047,943,961
12.145834,2047,943,960
12.166667,2047,943,960
12.187500,2047,943,960
12.208334,2047,1387,961
12.229167,2047,2401,2095
12.250000,2047,2980,2991
12.270834,2047,2981,2991
12.291667,2047,2980,2991
12.312500,2047,2980,2991
12.333334,2047,2980,2991
12.354167,2047,2980,2991
12.375000,2047,2980,2991
12.395834,2047,2980,2991
12.416667,2047,2891,2991
12.437500,2047,1703,1967
12.458334,2047,943,961
12.479167,2047,943,960
12.500000,2047,943,961
12.520834,2047,943,961
12.541667,2047,998,961
12.562500,2047,1665,961
12.583334,2047,2149,1319
12.604167,2047,2336,2472
12.625000,2047,2342,2991
12.645834,2047,2508,2991
12.666667,2047,2894,2990
12.687500,2047,2980,2990
12.708334,2047,2979,2991
12.729167,2047,2980,2991
12.750000,2047,2980,2991
12.770834,2047,2279,2944
12.791667,2047,1165,960
12.812500,2047,943,960
12.833334,2047,943,960
12.854167,2047,943,960
12.875000,2047,943,960
12.895834,2047,1421,960
12.916667,2047,1871,960
12.937500,2047,2158,1867
12.958334,2047,2211,2720
12.979167,2047,2281,2991
13.000000,2047,2479,2991
13.020834,2047,2799,2991
13.041667,2047,2980,2991
13.062500,2047,2980,2991
13.083334,2047,2979,2991
13.104167,2047,2543,2990
13.125000,2047,1865,2344
13.145834,2047,1226,960
13.166667,2047,943,960
13.187500,2047,943,960
13.208334,2047,943,961
13.229167,2047,1223,960
13.250000,2047,1540,960
13.270834,2047,1805,961
13.291667,2047,1967,1539
13.312500,2047,2145,2277
13.333334,2047,2317,2991
13.354167,2047,2507,2990
13.375000,2047,2664,2991
13.395834,2047,2725,2991
13.416667,2047,2638,2991
13.437500,2047,2406,2991
13.458334,2047,2095,2987
13.479167,2047,1729,2080
13.500000,2047,1451,960
13.520834,2047,1262,960
13.541667,2047,1231,961
13.562500,2047,1289,960
13.583334,2047,1410,960
13.604167,2047,1602,960
13.625000,2047,1839,1061
13.645834,2047,2124,1896
13.666667,2047,2338,2947
13.687500,2047,2510,2991
13.708334,2047,2603,2991
13.729167,2047,2561,2991
13.750000,2047,2433,2991
13.770834,2047,2249,2991
13.791667,2047,2049,2920
13.812500,2047,1867,2281
13.833334,2047,1709,1548
13.854167,2047,1611,960
13.875000,2047,1507,960
13.895834,2047,1479,960
13.916667,2047,1476,961
13.937500,2047,1577,961
13.958334,2047,1773,1062
13.979167,2047,1999,1893
14.000000,2047,2277,2763
14.020834,2047,2439,2991
14.041667,2047,2530,2991
14.062500,2047,2473,2990
14.083334,2047,2349,2990
14.104167,2047,2190,2924
14.125000,2047,1988,2573
14.145834,2047,1870,2190
14.166667,2047,1771,1826
14.187500,2047,1704,1441
14.208334,2047,1637,1005
14.229167,2047,1607,961
14.250000,2047,1606,960
14.270834,2047,1667,961
14.291667,2047,1798,993
14.312500,2047,1964,1568
14.333334,2047,2144,2245
14.354167,2047,2285,2853
14.375000,2047,2350,2991
14.395834,2047,2339,2991
14.416667,2047,2245,2991
14.437500,2047,2115,2702
14.458334,2047,1957,2337
14.479167,2047,1862,2017
14.500000,2047,1799,1735
14.520834,2047,1761,1485
14.541667,2047,1733,1191
