TimeMS,Input,Output_1,Output_2
0.000000,4095,1952,1923
0.020833,4095,1928,1933
0.041667,4095,1923,1928
0.062500,4095,1924,1927
0.083333,4095,1925,1927
0.104167,4095,1927,1930
0.125000,4095,1930,1935
0.145833,4095,1928,1924
0.166667,4095,1926,1933
0.187500,4095,1924,1959
0.208333,4095,1925,1955
0.229167,4095,1931,1965
0.250000,4095,1952,1967
0.270833,4095,1960,1987
0.291667,4095,1953,1994
0.312500,4095,1965,1987
0.333333,4095,1988,1998
0.354167,4095,1993,2023
0.375000,4095,1999,2030
0.395833,4095,1999,2019
0.416667,0,1998,2026
0.437500,0,1985,2056
0.458333,0,1999,2053
0.479167,0,1997,2084
0.500000,0,1984,2082
0.520833,0,1987,2092
0.541667,0,1995,2113
0.562500,0,2018,2117
0.583333,0,2024,2116
0.604167,0,2016,2115
0.625000,0,2016,2092
0.645833,0,2031,2085
0.666667,0,2031,2081
0.687500,0,2030,2093
0.708333,0,2017,2086
0.729167,0,2021,2082
0.750000,0,2023,2062
0.770833,0,2023,2080
0.791667,0,2026,2084
0.812500,0,2029,2088
0.833333,4095,2050,2088
0.854167,4095,2048,2083
0.875000,4095,2062,2062
0.895833,4095,2060,2054
0.916667,4095,2057,2059
0.937500,4095,2058,2053
0.958333,4095,2059,2053
0.979167,4095,2048,2063
1.000000,4095,2056,2080
1.020833,4095,2083,2095
1.041667,4095,2093,2090
1.062500,4095,2091,2091
1.083333,4095,2087,2094
1.104167,4095,2061,2094
1.125000,4095,2049,2085
1.145833,4095,2060,2092
1.166667,4095,2056,2082
1.187500,4095,2059,2062
1.208333,4095,2052,2061
1.229167,4095,2061,2062
1.250000,0,2091,2063
1.270833,0,2082,2084
1.291667,0,2081,2087
1.312500,0,2090,2084
1.333333,0,2087,2086
1.354167,0,2089,2086
1.375000,0,2093,2093
1.395833,0,2083,2083
1.416667,0,2087,2090
1.437500,0,2087,2114
1.458333,0,2085,2118
1.479167,0,2082,2114
1.500000,0,2091,2084
1.520833,0,2086,2088
1.541667,0,2062,2059
1.562500,0,2053,2052
1.583333,0,2059,2049
1.604167,0,2049,2048
1.625000,0,2025,2061
1.645833,0,2019,2059
1.666667,4095,1999,2061
1.687500,4095,1995,2063
1.708333,4095,1990,2061
1.729167,4095,1988,2054
1.750000,4095,1988,2021
1.770833,4095,1987,2022
1.791667,4095,1984,1995
1.812500,4095,1999,1988
1.833333,4095,1997,1987
1.854167,4095,1993,1991
1.875000,4095,1994,1993
1.895833,4095,1986,1997
1.916667,4095,1999,1991
1.937500,4095,2022,1990
1.958333,4095,2063,1998
1.979167,4095,2020,2030
2.000000,4095,1965,2022
2.020833,4095,1896,2018
2.041667,4095,1833,1955
2.062500,4095,1831,1891
2.083333,0,1892,1838
2.104167,0,1961,1824
2.125000,0,2020,1863
2.145833,0,2053,1923
2.166667,0,2049,1966
2.187500,0,2026,2023
2.208333,0,1990,2029
2.229167,0,1988,1993
2.250000,0,2018,1984
2.270833,0,2025,1963
2.291667,0,2059,1997
2.312500,0,2049,2029
2.333333,0,1956,2057
2.354167,0,1831,2031
2.375000,0,1739,1966
2.395833,0,1735,1858
2.416667,0,1833,1762
2.437500,0,2018,1735
2.458333,0,2180,1830
2.479167,0,2272,1994
2.500000,4095,2244,2212
2.520833,4095,2147,2341
2.541667,4095,2025,2372
2.562500,4095,1955,2253
2.583333,4095,1934,2112
2.604167,4095,1935,1964
2.625000,4095,1935,1862
2.645833,4095,1895,1862
2.666667,4095,1865,1927
2.687500,4095,1803,1967
2.708333,4095,1805,1984
2.729167,4095,1864,1962
2.750000,4095,1998,1929
2.770833,4095,2218,1952
2.791667,4095,2375,2059
2.812500,4095,2415,2219
2.833333,4095,2283,2404
2.854167,4095,2060,2467
2.875000,4095,1830,2340
2.895833,4095,1766,2090
2.916667,0,1805,1801
2.937500,0,1896,1635
2.958333,0,1966,1605
2.979167,0,1962,1764
3.000000,0,1926,1989
3.020833,0,1894,2184
3.041667,0,1934,2287
3.062500,0,2021,2254
3.083333,0,2189,2156
3.104167,0,2339,2084
3.125000,0,2410,2089
3.145833,0,2343,2148
3.166667,0,2149,2251
3.187500,0,1824,2246
3.208333,0,1579,2123
3.229167,0,1515,1830
3.250000,0,1610,1581
3.270833,0,1862,1452
3.291667,0,2093,1568
3.312500,0,2215,1861
3.333333,4095,2219,2274
3.354167,4095,2157,2510
3.375000,4095,2112,2542
3.395833,4095,2089,2336
3.416667,4095,2083,2024
3.437500,4095,2081,1728
3.458333,4095,2019,1601
3.479167,4095,1901,1639
3.500000,4095,1736,1798
3.520833,4095,1614,1897
3.541667,4095,1600,1922
3.562500,4095,1698,1837
3.583333,4095,1893,1737
3.604167,4095,2180,1700
3.625000,4095,2349,1825
3.645833,4095,2319,2056
3.666667,4095,2153,2340
3.687500,4095,1865,2440
3.708333,4095,1675,2314
3.729167,4095,1644,1956
3.750000,0,1707,1610
3.770833,0,1826,1351
3.791667,0,1893,1354
3.812500,0,1870,1550
3.833333,0,1804,1863
3.854167,0,1734,2080
3.875000,0,1733,2125
3.895833,0,1864,2029
3.916667,0,2026,1891
3.937500,0,2214,1834
3.958333,0,2273,1896
3.979167,0,2178,2062
4.000000,0,1935,2241
4.020833,0,1644,2275
4.041667,0,1443,2091
4.062500,0,1409,1741
4.083333,0,1601,1415
4.104167,0,1860,1259
4.125000,0,2125,1408
4.145833,0,2210,1766
4.166667,0,2176,2212
4.187500,0,2085,2477
4.208333,0,1991,2504
4.229167,0,1988,2316
4.250000,0,1995,1990
4.270833,0,2018,1711
4.291667,0,1960,1635
4.312500,0,1869,1711
4.333333,0,1734,1839
