TimeMS,Input,Output_1,Output_2
0.000000,2047,1959,1987
0.020833,2047,1958,1986
0.041667,2047,1958,1987
0.062500,2047,1955,1985
0.083333,2047,1959,1988
0.104167,2047,1962,1987
0.125000,2047,1963,1986
0.145833,2047,1967,1991
0.166667,2047,1965,1987
0.187500,2047,1963,1987
0.208333,2047,1961,1989
0.229167,2047,1959,1989
0.250000,2047,1960,1987
0.270833,2047,1961,1991
0.291667,2047,1962,1988
0.312500,2047,1965,1989
0.333333,2047,1963,1988
0.354167,2047,1959,1987
0.375000,2047,1958,1987
0.395833,2047,1957,1987
0.416667,2047,1956,1984
0.437500,2047,1962,1989
0.458333,2047,1965,1989
0.479167,2047,1965,1993
0.500000,2047,1987,1995
0.520833,2047,1987,1995
0.541667,2047,1986,1997
0.562500,2047,1984,1997
0.583333,2047,1965,1993
0.604167,2047,1964,1990
0.625000,2047,1961,1985
0.645833,2047,1958,1967
0.666667,2047,1963,1987
0.687500,2047,1963,1988
0.708333,2047,1965,1991
0.729167,2047,1967,1992
0.750000,2047,1967,1994
0.770833,2047,1966,1992
0.791667,2047,1985,1991
0.812500,2047,1967,1989
0.833333,2047,1987,1989
0.854167,2047,1988,1992
0.875000,2047,1990,1998
0.895833,2047,1987,1995
0.916667,2047,1986,1991
0.937500,2047,1967,1991
0.958333,2047,1963,1988
0.979167,2047,1959,1984
1.000000,2047,1959,1967
1.020833,2047,1960,1967
1.041667,2047,1961,1985
1.062500,2047,1963,1986
1.083333,2047,1964,1986
1.104167,2047,1963,1990
1.125000,2047,1963,1987
1.145833,2047,1962,1987
1.166667,2047,1959,1986
1.187500,2047,1959,1986
1.208333,2047,1959,1967
1.229167,2047,1959,1985
1.250000,2047,1959,1967
1.270833,2047,1960,1985
1.291667,2047,1962,1967
1.312500,2047,1963,1986
1.333333,2047,1962,1967
1.354167,2047,1964,1987
1.375000,2047,1986,1992
1.395833,2047,1989,1994
1.416667,2047,1991,1984
1.437500,2047,1995,1984
1.458333,2047,1995,1985
1.479167,2047,1992,1999
1.500000,2047,1988,1995
1.520833,2047,1984,1991
1.541667,2047,1965,1989
1.562500,2047,1963,1988
1.583333,2047,1964,1988
1.604167,2047,1966,1990
1.625000,2047,1967,1989
1.645833,2047,1967,1988
1.666667,2047,1984,1990
1.687500,2047,1966,1991
1.708333,2047,1966,1989
1.729167,2047,1984,1992
1.750000,2047,1986,1995
1.770833,2047,1987,1995
1.791667,2047,1987,1995
1.812500,2047,1986,1993
1.833333,2047,1984,1991
1.854167,2047,1965,1986
1.875000,2047,1963,1984
1.895833,2047,1964,1987
1.916667,2047,1964,1987
1.937500,2047,1964,1986
1.958333,2047,1965,1988
1.979167,2047,1963,1986
2.000000,2047,1963,1985
2.020833,2047,1963,1987
2.041667,2047,1962,1986
2.062500,2047,1958,1967
2.083333,2047,1958,1984
2.104167,2047,1957,1985
2.125000,2047,1957,1967
2.145833,2047,1957,1967
2.166667,2047,1955,1966
2.187500,2047,1957,1966
2.208333,2047,1954,1962
2.229167,2047,1954,1963
2.250000,2047,1953,1961
2.270833,2047,1967,1964
2.291667,2047,1967,1964
2.312500,2047,1964,1961
2.333333,2047,1962,1959
2.354167,2047,1961,1956
2.375000,2047,1962,1957
2.395833,2047,1964,1959
2.416667,2047,1964,1959
2.437500,2047,1963,1958
2.458333,2047,1967,1961
2.479167,2047,1956,1966
2.500000,2047,1960,1987
2.520833,2047,1964,1988
2.541667,2047,1963,1991
2.562500,2047,1963,1987
2.583333,2047,1962,1987
2.604167,2047,1960,1987
2.625000,2047,1955,1965
2.645833,2047,1953,1964
2.666667,2047,1954,1963
2.687500,2047,1955,1965
2.708333,2047,1958,1967
2.729167,2047,1957,1967
2.750000,2047,1957,1967
2.770833,2047,1961,1967
2.791667,2047,1961,1967
2.812500,2047,1965,1984
2.833333,2047,1963,1984
2.854167,2047,1960,1984
2.875000,2047,1959,1985
2.895833,2047,1956,1985
2.916667,2047,1959,1987
2.937500,2047,1959,1985
2.958333,2047,1962,1985
2.979167,2047,1962,1985
3.000000,2047,1963,1966
3.020833,2047,1965,1985
3.041667,2047,1984,1989
3.062500,2047,1987,1993
3.083333,2047,1990,1995
3.104167,2047,1985,1990
3.125000,2047,1985,1989
3.145833,2047,1988,1992
3.166667,2047,1987,1989
3.187500,2047,1990,1993
3.208333,2047,1990,1995
3.229167,2047,1992,1997
3.250000,2047,1991,1995
3.270833,2047,1988,1990
3.291667,2047,1967,1988
3.312500,2047,1985,1988
3.333333,2047,1965,1987
3.354167,2047,1963,1967
3.375000,2047,1960,1985
3.395833,2047,1959,1967
3.416667,2047,1961,1985
3.437500,2047,1963,1988
