TimeMS,Input,Output_1,Output_2
0.000000,2047,1955,1962
0.020833,2047,1956,1967
0.041667,2047,1957,1967
0.062500,2047,1956,1966
0.083333,2047,1955,1967
0.104167,2047,1954,1963
0.125000,2047,1967,1961
0.145833,2047,1967,1961
0.166667,2047,1967,1960
0.187500,2047,1964,1957
0.208333,2047,1963,1959
0.229167,2047,1960,1956
0.250000,2047,1960,1955
0.270833,2047,1959,1956
0.291667,2047,1959,1956
0.312500,2047,1962,1958
0.333333,2047,1964,1960
0.354167,2047,1963,1960
0.375000,2047,1965,1959
0.395833,2047,1953,1961
0.416667,2047,1955,1963
0.437500,2047,1958,1967
0.458333,2047,1959,1967
0.479167,2047,1962,1985
0.500000,2047,1963,1988
0.520833,2047,1966,1990
0.541667,2047,1987,1992
0.562500,2047,1993,1996
0.583333,2047,1996,1997
0.604167,2047,1987,1989
0.625000,2047,1990,1993
0.645833,2047,1992,1996
0.666667,2047,1991,1995
0.687500,2047,1993,1998
0.708333,2047,1991,1995
0.729167,2047,1989,1991
0.750000,2047,1988,1989
0.770833,2047,1986,1985
0.791667,2047,1984,1984
0.812500,2047,1985,1987
0.833333,2047,1998,1985
0.854167,2047,1997,1985
0.875000,2047,1995,1985
0.895833,2047,1988,1997
0.916667,2047,1986,1996
0.937500,2047,1985,1994
0.958333,2047,1966,1992
0.979167,2047,1963,1987
1.000000,2047,1963,1989
1.020833,2047,1963,1987
1.041667,2047,1965,1989
1.062500,2047,1964,1987
1.083333,2047,1963,1987
1.104167,2047,1959,1985
1.125000,2047,1956,1985
1.145833,2047,1953,1967
1.166667,2047,1953,1984
1.187500,2047,1954,1967
1.208333,2047,1955,1984
1.229167,2047,1958,1985
1.250000,2047,1961,1986
1.270833,2047,1962,1984
1.291667,2047,1963,1984
1.312500,2047,1964,1988
1.333333,2047,1962,1987
1.354167,2047,1959,1986
1.375000,2047,1958,1985
1.395833,2047,1958,1986
1.416667,2047,1958,1985
1.437500,2047,1961,1988
1.458333,2047,1963,1990
1.479167,2047,1987,1994
1.500000,2047,1991,1998
1.520833,2047,1997,1985
1.541667,2047,1997,1985
1.562500,2047,1999,1986
1.583333,2047,1997,1986
1.604167,2047,1997,1987
1.625000,2047,1994,1984
1.645833,2047,1995,1985
1.666667,2047,1993,1999
1.687500,2047,1995,1999
1.708333,2047,1994,1999
1.729167,2047,1994,1984
1.750000,2047,1993,1999
1.770833,2047,1995,1984
1.791667,2047,1994,1997
1.812500,2047,1995,1999
1.833333,2047,1994,1998
1.854167,2047,1995,1999
1.875000,2047,1994,1995
1.895833,2047,1994,1997
1.916667,2047,1991,1994
1.937500,2047,1989,1994
1.958333,2047,1967,1990
1.979167,2047,1963,1987
2.000000,2047,1960,1985
2.020833,2047,1958,1967
2.041667,2047,1957,1967
2.062500,2047,1954,1965
2.083333,2047,1954,1965
2.104167,2047,1952,1965
2.125000,2047,1953,1966
2.145833,2047,1953,1965
2.166667,2047,1955,1964
2.187500,2047,1954,1965
2.208333,2047,1955,1966
2.229167,2047,1952,1964
2.250000,2047,1965,1961
2.270833,2047,1963,1959
2.291667,2047,1961,1957
2.312500,2047,1964,1959
2.333333,2047,1965,1958
2.354167,2047,1966,1957
2.375000,2047,1966,1957
2.395833,2047,1965,1957
2.416667,2047,1965,1959
2.437500,2047,1964,1958
2.458333,2047,1963,1955
2.479167,2047,1962,1953
2.500000,2047,1961,1967
2.520833,2047,1962,1954
2.541667,2047,1961,1953
2.562500,2047,1959,1953
2.583333,2047,1958,1954
2.604167,2047,1958,1958
2.625000,2047,1957,1957
2.645833,2047,1957,1955
2.666667,2047,1959,1958
2.687500,2047,1959,1956
2.708333,2047,1958,1955
2.729167,2047,1958,1955
2.750000,2047,1957,1954
2.770833,2047,1956,1953
2.791667,2047,1954,1967
2.812500,2047,1935,1967
2.833333,2047,1934,1966
2.854167,2047,1934,1967
2.875000,2047,1935,1967
2.895833,2047,1952,1967
2.916667,2047,1955,1953
2.937500,2047,1957,1953
2.958333,2047,1958,1954
2.979167,2047,1960,1956
3.000000,2047,1961,1958
3.020833,2047,1961,1959
3.041667,2047,1961,1961
3.062500,2047,1962,1961
3.083333,2047,1964,1961
3.104167,2047,1966,1960
3.125000,2047,1965,1959
3.145833,2047,1964,1959
3.166667,2047,1964,1959
3.187500,2047,1962,1958
3.208333,2047,1960,1957
3.229167,2047,1959,1955
3.250000,2047,1961,1955
3.270833,2047,1960,1954
3.291667,2047,1957,1967
3.312500,2047,1956,1953
3.333333,2047,1957,1955
3.354167,2047,1960,1957
3.375000,2047,1961,1958
3.395833,2047,1963,1959
3.416667,2047,1961,1957
3.437500,2047,1964,1961
3.458333,2047,1963,1961
3.479167,2047,1964,1962
3.500000,2047,1963,1961
3.520833,2047,1961,1960
3.541667,2047,1962,1962
